Item_Weight,Item_MRP,Outlet_Location_Type,Item_Outlet_Sales,cbr_Item_Visibility,Item_Fat_Content_Low Fat,Item_Fat_Content_Regular,Item_Type_Drinks,Item_Type_Food,Item_Type_Others,Outlet_Size_High,Outlet_Size_Medium,Outlet_Size_Small,Outlet_Type_Grocery Store,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3
9.3,249.8092,1,3735.138,0.2522322803713901,1,0,0,1,0,0,1,0,0,1,0,0
5.92,48.2692,3,443.4228,0.2681363010543085,0,1,1,0,0,0,1,0,0,0,1,0
17.5,141.618,1,2097.27,0.2559127866573435,1,0,0,1,0,0,1,0,0,1,0,0
19.2,182.095,3,732.38,0.0,0,1,0,1,0,0,0,0,1,0,0,0
8.93,53.8614,3,994.7052,0.0,1,0,0,0,1,1,0,0,0,1,0,0
10.395,51.4008,3,556.6088,0.0,0,1,0,0,1,0,1,0,0,0,1,0
13.65,57.6588,3,343.5528,0.2335619987384311,0,1,0,1,0,1,0,0,0,1,0,0
12.987879554655871,107.7622,3,4022.7636,0.5032716880874994,1,0,0,1,0,0,1,0,0,0,0,1
16.2,96.9726,2,1076.5986,0.2555408946710878,0,1,0,1,0,0,0,0,0,1,0,0
19.2,187.8214,2,4710.535,0.45540733960316077,0,1,0,1,0,0,0,0,0,1,0,0
11.8,45.5402,1,1516.0266,0.0,1,0,0,1,0,0,1,0,0,1,0,0
18.5,144.1102,1,2187.153,0.3569070759096812,0,1,0,1,0,0,0,1,0,1,0,0
15.1,145.4786,1,1589.2646,0.4641797695711779,0,1,0,1,0,0,1,0,0,1,0,0
17.6,119.6782,1,2145.2076,0.36154002810199776,0,1,0,1,0,0,0,1,0,1,0,0
16.35,196.4426,3,1977.426,0.40821412411660285,1,0,0,1,0,1,0,0,0,1,0,0
9.0,56.3614,1,1547.3192,0.4103327875147388,0,1,0,1,0,0,0,1,0,1,0,0
11.8,115.3492,3,1621.8888,0.20484859731084182,1,0,0,0,1,0,1,0,0,0,1,0
9.0,54.3614,1,718.3982,0.41054533026800005,0,1,0,1,0,0,1,0,0,1,0,0
11.400327868852461,113.2834,3,2303.668,0.32471432727299143,1,0,1,0,0,0,1,0,0,0,0,1
13.35,230.5352,2,2748.4224,0.4679830880001563,1,0,0,1,0,0,0,1,0,1,0,0
18.85,250.8724,3,3775.086,0.5170023245645712,0,1,0,1,0,1,0,0,0,1,0,0
12.277108208955223,144.5444,3,4064.0432,0.3283477962370577,0,1,0,0,1,0,1,0,0,0,0,1
14.6,196.5084,2,1587.2672,0.2950986321535707,1,0,0,0,1,0,0,1,0,1,0,0
12.277108208955223,107.6938,1,214.3876,0.38609962349335114,1,0,0,0,1,0,0,1,1,0,0,0
13.85,165.021,1,4078.025,0.29585592650742054,0,1,0,1,0,0,0,1,0,1,0,0
13.0,45.906,2,838.908,0.4639841437680019,1,0,0,0,1,0,0,0,0,1,0,0
7.645,42.3112,2,1065.28,0.40553439996676327,0,1,0,1,0,0,0,1,0,1,0,0
11.65,39.1164,3,308.9312,0.26849705408930724,1,0,1,0,0,1,0,0,0,1,0,0
5.925,45.5086,3,178.4344,0.544537142014786,0,1,0,1,0,0,0,0,1,0,0,0
12.305705009276437,43.6454,1,125.8362,0.416443516208408,0,1,0,1,0,0,0,1,1,0,0,0
19.25,55.7956,3,163.7868,0.5543441659335866,1,0,0,1,0,0,0,0,1,0,0,0
18.6,96.4436,3,2741.7644,0.4323708449704814,1,0,0,0,1,0,1,0,0,0,1,0
18.7,256.6672,3,3068.0064,0.0,1,0,0,1,0,0,1,0,0,0,1,0
17.85,93.1436,2,2174.5028,0.0,1,0,0,1,0,0,0,0,0,1,0,0
17.5,174.8738,1,2085.2856,0.46089308066986556,1,0,1,0,0,0,0,1,0,1,0,0
10.0,146.7102,1,3791.0652,0.4469608158142496,1,0,0,0,1,0,1,0,0,1,0,0
13.224769381746812,128.0678,3,2797.6916,0.39042209833312014,0,1,0,1,0,0,1,0,0,0,0,1
8.85,122.5388,3,1609.9044,0.4836354359725978,0,1,1,0,0,0,1,0,0,0,1,0
12.987879554655871,36.9874,3,388.1614,0.49746914852917595,0,1,0,1,0,0,1,0,0,0,0,1
